Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Hong Kong,Unemployment Rate,2007-08-31T00:00:00,4.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-09-30T00:00:00,4.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-10-31T00:00:00,4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-11-30T00:00:00,3.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2007-12-31T00:00:00,3.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-01-31T00:00:00,3.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-02-29T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-03-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-04-30T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-05-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-06-30T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-07-31T00:00:00,3.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-08-31T00:00:00,3.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-09-30T00:00:00,3.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-10-31T00:00:00,3.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-11-30T00:00:00,3.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2008-12-31T00:00:00,4.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-01-31T00:00:00,4.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-02-28T00:00:00,5.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-03-31T00:00:00,5.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-04-30T00:00:00,5.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-05-31T00:00:00,5.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-06-30T00:00:00,5.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-07-31T00:00:00,5.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-08-31T00:00:00,5.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-09-30T00:00:00,5.4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-10-31T00:00:00,5.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-11-30T00:00:00,5.1,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2009-12-31T00:00:00,5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-01-31T00:00:00,4.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-02-28T00:00:00,4.7,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-03-31T00:00:00,4.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-04-30T00:00:00,4.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-05-31T00:00:00,4.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-06-30T00:00:00,4.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-07-31T00:00:00,4.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-08-31T00:00:00,4.3,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-09-30T00:00:00,4.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-10-31T00:00:00,4.2,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-11-30T00:00:00,4,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2010-12-31T00:00:00,3.9,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-01-31T00:00:00,3.8,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-02-28T00:00:00,3.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-03-31T00:00:00,3.5,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-04-30T00:00:00,3.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-05-31T00:00:00,3.6,Monthly,HKUERATE,2014-06-17T10:42:00
Hong Kong,Unemployment Rate,2011-06-30T00:00:00,3.6,Monthly,HKUERATE,2014-06-17T10:42:00
